frame_id,seq_id,class_id,description
SEQ_0490_frame_00049,490,0,"High metabolic output detected: the gas plume extends over 4.1% of the observation area, indicating robust digestive function."
SEQ_0510_frame_00173,510,0,"Elevated eructation activity observed. The thermal emission centroid at (110, 133) reflects continuous gas release typical of high forage diet."
SEQ_0493_frame_00009,493,0,The bovine demonstrates active gastric fermentation with 2 gas cluster(s) and a spatial dispersion of 24.0.
SEQ_0486_frame_interp_00027,486,0,Thermal imaging confirms high metabolic state: 17.2% gas coverage with low emission intensity across the monitored region.
SEQ_0510_frame_00837,510,0,The subject is actively ruminating with visible gas emission covering 10.7% of the thermal field at moderate intensity.
SEQ_0510_frame_00702,510,0,High forage intake evident: gas dispersion of 20.7 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0497_frame_00164,497,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (164, 108) and 9.9% coverage."
SEQ_0484_frame_interp_00029,484,0,Active eructation state: the thermal plume shows low intensity with a spatial spread of 40.0 units.
SEQ_0491_frame_interp_00014,491,0,Significant methane release detected. The high forage diet correlates with 14.6% gas coverage and 1 distinct emission region(s).
SEQ_0498_frame_00734,498,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 2.8% field coverage.
SEQ_0498_frame_01815,498,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 56.3 and peak intensity of 126."
SEQ_0498_frame_01243,498,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 14.7% of the thermal field, centered at (106, 79)."
SEQ_0496_frame_00089,496,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 5.4% of the frame.
SEQ_0497_frame_00216,497,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0486_frame_interp_00011,486,0,The cow displays vigorous digestive processing. Gas dispersion index of 28.1 indicates active eructation events.
SEQ_0497_frame_00240,497,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 30.5% spatial coverage.
SEQ_0498_frame_00932,498,0,"Pronounced gas plume detected at coordinates (179, 48) with a dispersion of 81.0, consistent with active rumination."
SEQ_0484_frame_interp_00025,484,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 33.2% of the field.
SEQ_0498_frame_02062,498,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 114 and maximum of 225.
SEQ_0495_frame_00122,495,0,The animal is in an active rumination phase. Gas coverage of 8.8% with moderate thermal signature suggests high forage consumption.
SEQ_0497_frame_00416,497,0,"High metabolic output detected: the gas plume extends over 8.2% of the observation area, indicating robust digestive function."
SEQ_0498_frame_00232,498,0,"Elevated eructation activity observed. The thermal emission centroid at (174, 109) reflects continuous gas release typical of high forage diet."
SEQ_0496_frame_00099,496,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 37.3.
SEQ_0497_frame_00188,497,0,Thermal imaging confirms high metabolic state: 31.8% gas coverage with moderate emission intensity across the monitored region.
SEQ_0497_frame_00364,497,0,The subject is actively ruminating with visible gas emission covering 17.1% of the thermal field at moderate intensity.
SEQ_0498_frame_01256,498,0,High forage intake evident: gas dispersion of 31.3 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0498_frame_01716,498,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (160, 163) and 26.9% coverage."
SEQ_0490_frame_interp_00026,490,0,Active eructation state: the thermal plume shows low intensity with a spatial spread of 32.5 units.
SEQ_0498_frame_01737,498,0,Significant methane release detected. The high forage diet correlates with 23.6% gas coverage and 1 distinct emission region(s).
SEQ_0495_frame_00035,495,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 13.6% field coverage.
SEQ_0493_frame_00030,493,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 20.7 and peak intensity of 151."
SEQ_0498_frame_01370,498,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 7.0% of the thermal field, centered at (182, 74)."
SEQ_0510_frame_00289,510,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 7.5% of the frame.
SEQ_0497_frame_00588,497,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0495_frame_00577,495,0,The cow displays vigorous digestive processing. Gas dispersion index of 60.9 indicates active eructation events.
SEQ_0498_frame_01697,498,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 2.3% spatial coverage.
SEQ_0510_frame_00019,510,0,"Pronounced gas plume detected at coordinates (121, 166) with a dispersion of 34.2, consistent with active rumination."
SEQ_0510_frame_00424,510,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 10.3% of the field.
SEQ_0497_frame_00260,497,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 107 and maximum of 121.
SEQ_0497_frame_00033,497,0,The animal is in an active rumination phase. Gas coverage of 18.2% with moderate thermal signature suggests high forage consumption.
SEQ_0493_frame_interp_00014,493,0,"High metabolic output detected: the gas plume extends over 5.6% of the observation area, indicating robust digestive function."
SEQ_0510_frame_00462,510,0,"Elevated eructation activity observed. The thermal emission centroid at (112, 136) reflects continuous gas release typical of high forage diet."
SEQ_0510_frame_00219,510,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 26.1.
SEQ_0486_frame_interp_00028,486,0,Thermal imaging confirms high metabolic state: 16.4% gas coverage with low emission intensity across the monitored region.
SEQ_0510_frame_00097,510,0,The subject is actively ruminating with visible gas emission covering 7.4% of the thermal field at moderate intensity.
SEQ_0495_frame_00195,495,0,High forage intake evident: gas dispersion of 77.8 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0486_frame_interp_00007,486,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (137, 172) and 16.5% coverage."
SEQ_0498_frame_02130,498,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 35.6 units.
SEQ_0496_frame_00535,496,0,Significant methane release detected. The high forage diet correlates with 27.6% gas coverage and 1 distinct emission region(s).
SEQ_0491_frame_00058,491,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 6.2% field coverage.
SEQ_0486_frame_interp_00006,486,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 40.4 and peak intensity of 164."
SEQ_0492_frame_00598,492,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 4.8% of the thermal field, centered at (149, 108)."
SEQ_0495_frame_00439,495,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 12.8% of the frame.
SEQ_0510_frame_00823,510,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0510_frame_00708,510,0,The cow displays vigorous digestive processing. Gas dispersion index of 41.5 indicates active eructation events.
SEQ_0497_frame_00578,497,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 32.2% spatial coverage.
SEQ_0498_frame_00101,498,0,"Pronounced gas plume detected at coordinates (199, 152) with a dispersion of 53.3, consistent with active rumination."
SEQ_0495_frame_00567,495,0,The subject's metabolic profile indicates peak digestive activity. 2 separate emission zone(s) are visible across 15.1% of the field.
SEQ_0496_frame_00461,496,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 118 and maximum of 216.
SEQ_0484_frame_interp_00002,484,0,The animal is in an active rumination phase. Gas coverage of 9.8% with moderate thermal signature suggests high forage consumption.
SEQ_0496_frame_00492,496,0,"High metabolic output detected: the gas plume extends over 13.5% of the observation area, indicating robust digestive function."
SEQ_0510_frame_00182,510,0,"Elevated eructation activity observed. The thermal emission centroid at (136, 159) reflects continuous gas release typical of high forage diet."
SEQ_0498_frame_01316,498,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 72.8.
SEQ_0498_frame_01224,498,0,Thermal imaging confirms high metabolic state: 9.5% gas coverage with moderate emission intensity across the monitored region.
SEQ_0498_frame_00387,498,0,The subject is actively ruminating with visible gas emission covering 11.5% of the thermal field at moderate intensity.
SEQ_0496_frame_00228,496,0,High forage intake evident: gas dispersion of 50.7 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0491_frame_00074,491,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (185, 185) and 8.5% coverage."
SEQ_0498_frame_01588,498,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 32.5 units.
SEQ_0496_frame_00551,496,0,Significant methane release detected. The high forage diet correlates with 18.1% gas coverage and 1 distinct emission region(s).
SEQ_0497_frame_00736,497,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 12.8% field coverage.
SEQ_0496_frame_00447,496,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 81.4 and peak intensity of 211."
SEQ_0497_frame_00298,497,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 20.5% of the thermal field, centered at (165, 151)."
SEQ_0483_frame_interp_00046,483,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 5.5% of the frame.
SEQ_0491_frame_00152,491,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0510_frame_00832,510,0,The cow displays vigorous digestive processing. Gas dispersion index of 22.0 indicates active eructation events.
SEQ_0493_frame_interp_00023,493,0,High forage feeding state confirmed: thermal overlay reveals low emission intensity with 2.6% spatial coverage.
SEQ_0483_frame_interp_00010,483,0,"Pronounced gas plume detected at coordinates (144, 143) with a dispersion of 31.8, consistent with active rumination."
SEQ_0495_frame_00655,495,0,The subject's metabolic profile indicates peak digestive activity. 1 separate emission zone(s) are visible across 8.1% of the field.
SEQ_0498_frame_00414,498,0,Thermal behavioural analysis reveals sustained high-emission state with mean gas intensity of 118 and maximum of 229.
SEQ_0497_frame_00217,497,0,The animal is in an active rumination phase. Gas coverage of 21.6% with moderate thermal signature suggests high forage consumption.
SEQ_0510_frame_00428,510,0,"High metabolic output detected: the gas plume extends over 6.1% of the observation area, indicating robust digestive function."
SEQ_0497_frame_00510,497,0,"Elevated eructation activity observed. The thermal emission centroid at (199, 139) reflects continuous gas release typical of high forage diet."
SEQ_0491_frame_00033,491,0,The bovine demonstrates active gastric fermentation with 1 gas cluster(s) and a spatial dispersion of 14.5.
SEQ_0498_frame_01840,498,0,Thermal imaging confirms high metabolic state: 13.7% gas coverage with moderate emission intensity across the monitored region.
SEQ_0483_frame_interp_00036,483,0,The subject is actively ruminating with visible gas emission covering 7.2% of the thermal field at moderate intensity.
SEQ_0497_frame_00299,497,0,High forage intake evident: gas dispersion of 43.3 and 1 emission zone(s) indicate sustained digestive processing.
SEQ_0496_frame_00740,496,0,"The cow exhibits peak metabolic behaviour with thermal gas signature centered at (132, 85) and 23.8% coverage."
SEQ_0492_frame_00618,492,0,Active eructation state: the thermal plume shows moderate intensity with a spatial spread of 23.3 units.
SEQ_0497_frame_00554,497,0,Significant methane release detected. The high forage diet correlates with 26.1% gas coverage and 1 distinct emission region(s).
SEQ_0498_frame_01421,498,0,Behavioural state: active rumination. Gas emission parameters indicate moderate metabolic throughput with 21.6% field coverage.
SEQ_0488_frame_00032,488,0,"The thermal profile shows vigorous digestive activity, with gas dispersion at 56.7 and peak intensity of 153."
SEQ_0497_frame_00862,497,0,"The bovine subject exhibits high metabolic activity with a gas emission area covering 8.2% of the thermal field, centered at (211, 100)."
SEQ_0496_frame_00414,496,0,Active rumination state detected. The thermal signature shows a moderate-intensity gas plume dispersed across 17.2% of the frame.
SEQ_0488_frame_interp_00023,488,0,"Elevated methane emission observed with 1 distinct gas region(s), characteristic of high forage dietary intake."
SEQ_0495_frame_00057,495,0,The cow displays vigorous digestive processing. Gas dispersion index of 59.2 indicates active eructation events.
SEQ_0497_frame_00366,497,0,High forage feeding state confirmed: thermal overlay reveals moderate emission intensity with 18.1% spatial coverage.
